,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,-3.4307284,2.4950244,7.4216795,4.0061646,-3.7103956,-3.994989,-6.6348753,2.613079,-5.637759,-0.13361093,-5.7390738,-5.962857,5.8163104,-3.9501133,4.8091383,-4.5929294,-5.1335716,0.9160251,-1.5461385,-4.9858966,-5.648233,-0.17357418,-3.1285791,-4.5309854,9.936544,-2.34029,-7.517167,9.865099,0.53411883,-5.249928,-3.4056005,-5.6002393,1.8371222,8.319264,1.0143965,-0.68040955,2.7468674,1.3535469,-0.9630273,3.143183,-2.2899294,-3.0183506,10.622564,2.2309062,7.788234,-2.1368253,2.706832,-3.1536317,1.0338352,1.2211026,7.6583276,-4.397772,-5.538437,2.8113685,-5.835036,7.760548,-3.4747412,-3.6135542,4.2134643,2.892359,2.8445692,6.325959,-3.4755604,-5.610418
11,1.338689,-3.1131518,6.381137,-0.6993377,-3.2253,-5.4422827,-8.246879,1.4426363,-4.6393538,2.6388452,-5.571849,-3.2581847,3.5653148,-6.135015,3.1211958,3.5512366,-5.2792172,0.55853605,2.2812245,-2.173629,-6.6611476,-2.1195362,-1.724743,-6.3056946,3.643998,-1.7073002,-5.0515275,6.101725,4.957497,-4.9047217,-3.1630588,-4.8691635,-5.795311,1.0008322,-0.16379985,2.8951793,0.37401438,1.4117999,-3.9557862,-1.195558,-4.4826713,5.391824,7.0945516,2.5808969,2.874478,-1.4151506,2.244825,-4.6304216,-0.15738896,0.9731141,1.0740705,-1.8668547,-3.683191,4.236738,-4.551085,4.290283,-5.291568,-2.6788123,3.251727,7.9953146,4.960487,1.4524086,-0.8111048,-3.7151754
12,3.0072958,-6.3001194,-4.8334823,-6.054462,1.4825311,1.6575302,-4.344337,-1.9664136,2.3818672,-2.710935,-1.986746,0.4508458,-4.5638523,-0.05437316,-5.1351247,5.064888,-0.55808693,-3.5399327,1.5604781,0.7903962,-2.3490682,-1.6473441,-1.1698042,-0.84484226,-5.8045006,0.2509222,0.55130374,-4.6202025,3.901619,-1.9497045,0.0033343136,-1.6125174,-4.609427,-6.282512,-0.027745858,-3.3947346,-2.8220844,3.299014,-2.7169893,-3.957546,-0.29545525,4.2741976,-7.5424457,-0.053798012,-4.845906,-2.1356056,-3.4717667,-2.6169622,-0.4414759,0.6245475,-7.605147,0.6989315,-1.9750042,-2.5113032,1.1360312,-5.3836274,-2.2225335,-1.9006301,3.400916,-2.7564034,2.8546524,-0.6031642,0.7423017,-1.0405883
13,2.037084,-2.3451917,-12.672665,-3.8887072,4.8093123,6.1143346,5.227374,-8.199478,14.564917,-6.8728333,4.8470297,7.1132975,-9.870717,3.8118277,-11.977272,8.131008,8.274803,-3.9847975,10.851426,4.8424706,2.5351448,7.18716,0.6189947,2.6782603,-16.357897,1.9046156,6.687854,-16.158346,1.4190141,4.6289988,9.753133,10.63778,-6.588949,-6.988068,-4.2312546,-1.7650862,-5.305235,-4.2068114,3.0472615,-4.5381246,4.7493987,13.159296,-12.395475,-5.399004,-12.938081,1.9528397,-4.6508746,6.362701,-3.4858096,-8.106158,-15.163628,0.2045209,6.473449,-4.4511347,9.031817,-11.518095,8.991408,3.6080773,-9.616686,-2.0182824,-4.151736,-9.017435,2.76688,9.2644005
14,5.7368402,-1.6665053,-3.8058472,0.9657477,-2.4751053,3.528276,-6.3145213,0.33019882,-1.7600163,4.7433467,-1.7268534,-2.4737062,0.46463266,-4.7115064,-3.536125,-1.0726279,-1.0155544,4.9694276,3.165659,-2.7294044,0.6786828,1.1165016,-0.27324343,-3.145313,-5.73038,-1.3163692,-3.2326274,-4.405491,-3.4329138,-3.793228,0.16738263,-1.7038279,1.9665146,-2.6518414,5.825393,-3.3962035,0.68123657,-0.39283675,0.4518656,0.2255517,-5.8393497,-1.597589,2.6643033,-1.0312656,-7.3306975,-2.6614988,-0.5557537,-3.098053,-3.5678048,-0.5978554,5.518166,4.9762793,-0.15547529,-5.203051,-1.203057,-8.377641,-5.3663073,-6.7849965,-3.5576158,-3.2759871,0.31478864,-2.0758448,2.973422,-2.1714756
15,-0.52082086,3.0294402,-20.493626,10.342252,6.2711916,3.9466803,14.025361,0.15155914,13.897538,-2.5523772,14.149326,8.794993,-10.047477,2.9765255,-19.184927,-13.368612,11.824697,-5.4151716,8.330682,5.8203673,18.44139,13.4491,17.690886,5.9959617,-22.583685,11.965531,4.893142,-10.339601,-11.857106,11.827007,19.753904,16.299587,9.302681,0.90132946,-0.9269302,-15.187751,-0.75290537,-5.81191,11.499248,6.0501566,14.169639,-9.904698,-5.8117266,-12.647093,-19.963219,-1.7510608,1.3663641,15.842011,-15.441817,0.2968964,3.37343,11.098914,18.35639,-8.906352,16.074793,-14.253303,11.651797,-7.1325927,-15.303032,-15.274805,-13.874353,-10.518873,9.70286,15.111
16,-4.1193995,-2.159783,6.6313305,2.2267191,-4.224111,-5.715079,-2.7893229,0.6580804,-2.7344651,2.7065377,-0.056594834,-1.4718144,3.205052,-3.7292428,5.993604,-1.6742665,-1.3337362,3.5139449,-4.408042,-2.1920533,-0.99246997,-1.0237693,-1.3236647,-0.80492276,6.0734935,0.3026051,-3.1795156,7.6250105,0.29048023,-3.3345149,-1.9346856,-2.7048814,-0.42686245,6.6952543,0.038490802,2.003068,2.203179,-0.4105025,-1.4678799,1.1836475,-2.0532112,-2.4575362,8.5103445,2.6806986,7.365566,0.87740993,1.3228396,-1.4234275,0.33173907,0.9806549,4.9050927,-2.1228228,-1.8446647,4.759253,-4.0149636,8.914355,-1.8515837,-0.36160538,4.3917193,5.289395,0.22519316,3.5937715,-1.6473309,-3.1480677
17,7.6512136,-2.5894837,-11.874363,-5.888564,-0.32109767,5.8410254,1.0891647,-1.2138642,7.981524,-3.077601,3.3319259,4.6631236,-9.992262,3.6186879,-12.40754,3.2162778,4.6327925,-5.940848,6.303109,2.2134166,5.3472524,4.7755594,3.6156936,-1.8255327,-16.14041,3.26078,6.7685804,-12.16495,-2.7085,5.0638533,6.135285,7.9679646,-5.499069,-7.6366577,-1.5688511,2.1957352,-5.337919,-0.97132105,1.5406351,-1.677619,2.1009574,5.9820724,-10.651509,-6.1734853,-13.392974,1.1692418,4.176976,3.9900923,-6.681636,-1.4200531,-8.248749,4.4786487,7.606211,-3.8975544,4.728916,-11.693607,0.5173418,-3.0503993,-6.7583275,-6.073895,-2.7582731,-10.162406,6.030615,5.2428365
18,-0.19973776,-3.478176,4.167496,-4.219616,-4.833161,-1.4267666,-9.494828,4.2877083,-7.012644,0.9918183,-6.9325347,-5.624757,2.9803562,-4.9667797,1.4662949,-2.2675614,-6.2028584,-0.17456117,-1.9323844,-5.8500915,-3.3743587,-3.364644,-2.741859,-6.5568647,2.129497,-0.3246693,-4.612248,5.52357,-1.2327474,-7.759559,-3.0624497,-5.371331,-0.66138935,-0.71274656,2.6195624,-0.06487151,-1.9667382,3.8163948,-2.3929725,2.4971669,-4.473193,-3.2834754,7.285531,2.74062,-0.63458365,-0.93104017,2.9476697,-7.5549603,-0.6238849,0.9854446,2.0500033,1.6428466,-5.4817653,1.5612123,-7.31405,-0.0031381957,-5.860921,-5.8782506,2.998899,3.170765,5.980897,5.8396506,0.13302213,-7.3254094
19,1.2485374,-1.7361435,-3.455201,-5.722293,3.6649888,4.6386385,3.5270522,-1.6284989,-0.98462844,1.9071244,1.0829854,2.1187944,-2.3610897,3.4914885,0.43333673,-0.027300023,-1.1284924,2.6371775,0.7587315,-2.1050694,1.524585,-3.3859522,-1.2565863,2.1642678,-2.317111,-3.186392,2.1406624,-2.875797,-0.5193614,-0.24914157,-2.178741,-1.8570329,2.6990633,-6.532389,2.1662266,3.025976,-1.0571065,2.8906684,-0.06370461,-0.4503719,-2.6176872,0.1955664,-4.469509,0.38126227,-3.1222143,-0.9777925,-2.0483437,-1.8699208,0.056834906,3.3172464,-2.7383668,2.146071,-0.44484702,-3.60516,-1.9564815,-4.1985173,-0.015840538,1.0942768,1.9527723,-1.4249339,-0.91208273,0.65906715,3.804126,-2.2399638
